Time,Knee_gyro,Knee_accel,Knee_fusion,Ankle_gyro,Ankle_accel,Ankle_fusion
0.302328,-19.929732577073803,-20.42178240848197,-20.344044020744395,-51.854540010242395,-52.96396056970491,-52.472514993294375
0.308144,-19.91312626646432,-20.451097260298987,-20.32998874154542,-51.81501114176062,-52.97145794942789,-52.45892459747617
0.313964,-19.89491964522717,-20.473966547928768,-20.31597759653939,-51.775143736638015,-52.974518223113805,-52.44570894094785
0.319772,-19.875007439541303,-20.488307723814348,-20.301569155841758,-51.73490463316384,-52.97203029319929,-52.43256765193919
0.325596,-19.853302346984343,-20.49239195698593,-20.286314721874085,-51.69425792317874,-52.96323194869734,-52.41918941451591
0.331416,-19.829743178423303,-20.4853335514673,-20.26981152260342,-51.6531644564921,-52.94799424416807,-52.40527837537722
0.337232,-19.804304904333076,-20.467718159717297,-20.25175760374189,-51.611587583033064,-52.92677978987822,-52.39057389438176
0.343048,-19.777010666506463,-20.44157692524353,-20.23199665696005,-51.56950362443016,-52.90021149095153,-52.374860721097214
0.348864,-19.747942839462485,-20.4099677700072,-20.21054090053854,-51.52690988327991,-52.86870999946377,-52.35797040588997
0.354676,-19.7172485350945,-20.37622109054426,-20.187564534572452,-51.48382647885203,-52.83249815591568,-52.33977781235345
0.360504,-19.68513707092074,-20.34299521350545,-20.163369892051428,-51.44029430007383,-52.791843441006854,-52.320197604704674
0.366324,-19.6518683343811,-20.311808110595006,-20.138338879958557,-51.39637089214823,-52.74720136532751,-52.2991827525631
0.372124,-19.617734845435205,-20.283106984978883,-20.11288465678653,-51.352126051811254,-52.699189021722816,-52.276722897302406
0.377944,-19.583044111532043,-20.256773589695218,-20.08741478932729,-51.30763946564146,-52.64852495747121,-52.25283922906421
0.383756,-19.548104913813773,-20.23273570231127,-20.06230932785307,-51.26300046089397,-52.5958001979271,-52.227574472290826
0.38956,-19.5132170387663,-20.21111679036458,-20.03790712131409,-51.218307772401715,-52.54110237459461,-52.20098046653229
0.395368,-19.478662855007506,-20.19214049177251,-20.014490418336457,-51.1736673774381,-52.48405818240298,-52.1731095136053
0.401176,-19.444699444732024,-20.175873057919627,-19.99226313987908,-51.12918917756858,-52.42434511067117,-52.14401449544276
0.406988,-19.411551234749993,-20.161360512929427,-19.97132566160524,-51.08498390774582,-52.362161651070124,-52.11375797724586
0.412804,-19.379403105902302,-20.146131208122636,-19.951655403931,-51.04115864722695,-52.29838357091606,-52.0824265722532
0.418616,-19.34839548196301,-20.12730432757588,-19.933104183584806,-50.99781146306941,-52.23426787673421,-52.05014427219752
0.424428,-19.318626021701263,-20.102836830860998,-19.91541683851613,-50.95503051321219,-52.17102929400972,-52.01707946803577
0.430244,-19.29015787497228,-20.071396334142495,-19.898267804968295,-50.91289847990308,-52.109809122988224,-51.98344487367903
0.43606,-19.263027739685235,-20.032147226695834,-19.881308003476875,-50.871497057381816,-52.05171211586704,-51.949491781500946
0.441872,-19.237250903222513,-19.985425577699367,-19.864210733314817,-50.83090867440066,-51.99764057866366,-51.91549976724361
0.447688,-19.21282567096817,-19.93305011590368,-19.846704092866904,-50.791216122825,-51.94839440769132,-51.88176278287041
0.453504,-19.18973734153215,-19.877293516432243,-19.828583355047346,-50.75249984064077,-51.90480984852452,-51.848571162675384
0.459304,-19.167961625605972,-19.81946061009366,-19.809707890941418,-50.71483106956486,-51.867393805862775,-51.816188377990144
0.465112,-19.147470639495666,-19.759473440634956,-19.78999521135555,-50.67826168054047,-51.83592610381443,-51.78482416296457
0.470928,-19.12824153606025,-19.697010775120862,-19.76942391224816,-50.642816218155914,-51.80937291665758,-51.754608195930444
0.47674,-19.11026278031669,-19.63327691556183,-19.748047910905033,-50.60849090034916,-51.78587485412503,-51.7255689144288
0.482552,-19.093535696056545,-19.57119837553978,-19.726011444482435,-50.57525867845303,-51.7630533393182,-51.69762310141188
0.488368,-19.078071979904013,-19.513859823622294,-19.703551534707593,-50.54307525038004,-51.73861483120464,-51.67058222018242
0.494188,-19.063886555573067,-19.463468906211844,-19.68098555262159,-50.51188100627418,-51.71057065405581,-51.64417815504254
