Header,foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z
27.646572,1.3483959960937502,0.0431103515625,10.66502197265625,-0.4269047227397018,-0.3707120237390299,0.18855180517761003,10.08063720703125,2.5004003906250003,1.65495849609375,-0.28043086278534374,-0.27483822449617734,1.0112022659030866,12.63851806640625,3.4847534179687503,0.6873706054687501,-0.17843179303530893,-0.286556133292526,0.9616674696276127
27.65238,1.9040405273437502,-0.3688330078125,10.22912841796875,-0.34194988396617415,-0.3339604006959364,0.14913702104443732,10.00399658203125,1.3555810546875,1.33881591796875,-0.5326322180158476,-0.3049319448140727,0.9981527765616983,12.45170654296875,4.1912841796875,1.22385498046875,-0.6229133789695337,-0.20399813950006962,0.891093700740513
27.658204,1.7076489257812502,-0.10538085937500001,10.0734521484375,-0.25619609686562267,-0.27936559834931207,0.10785802414820914,9.9297509765625,-0.5987548828125,0.613125,-0.6703176463729441,-0.2942793004537558,0.9701895851158664,11.776311035156251,4.3828857421875,1.3939013671875,-1.0620686427236001,-0.09534116702483672,0.814394661346231
27.66402,1.9806811523437502,0.41194335937500004,10.0255517578125,-0.17390441918217422,-0.21678131273244997,0.055926382891663996,9.5848681640625,-2.7399023437500003,-0.14130615234375002,-0.6700513302639363,-0.32730249797073835,0.9478190319592007,10.7153173828125,3.7793408203125,1.2549902343750001,-1.3763216513529501,-0.03169161697194293,0.7635282845257175
27.66982,2.2177880859375003,0.6514453125,9.4124267578125,-0.12436962290670041,-0.17763284470828516,0.028762139772855768,9.34776123046875,-4.1002734375,-0.95561279296875,-0.5259743152906494,-0.3486077866913722,0.9036105578638854,10.047106933593751,2.5435107421875003,0.7041357421875001,-1.5587481860233778,-0.008255799379245638,0.7219829715204814
27.675652,2.308798828125,1.1735595703125001,9.8483203125,-0.07030745277809188,-0.10386328251309028,0.004793689962142628,9.5034375,-4.6511279296875,-1.81302978515625,-0.3339604006959364,-0.33449303291395227,0.8372978467209123,9.54894287109375,0.6514453125,-0.124541015625,-1.5643408243125443,-0.006125270507182247,0.7001450505818316
27.681456,2.1674926757812503,1.0921289062500001,9.120234375,-0.02024002428460221,-0.06897587223305227,-0.008788431597261484,9.297465820312501,-4.5170068359375,-2.7351123046875,-0.11611382352745477,-0.31505195695637384,0.7677893422698443,9.31902099609375,-0.87897216796875,-1.18074462890625,-1.3829795540781482,-0.019973708175594285,0.7089334821790931
27.687264,1.9471508789062502,1.4849121093750002,9.216035156250001,0.015180018213451656,-0.038349519697141024,-0.011984224905356571,9.225615234375,-3.7218603515625004,-3.4416430664062503,0.1041295986220982,-0.3099919508852233,0.7121292754871882,9.29267578125,-2.1603076171875,-2.2010229492187503,-1.0735202354109408,-0.03888215191515687,0.7435545763501232
27.693088,1.8705102539062501,1.43701171875,9.254355468750001,0.04713795129440251,-0.015978966540475426,-0.008255799379245638,9.19927001953125,-3.00814453125,-4.0356079101562505,0.23648870479903633,-0.286556133292526,0.6700513302639363,9.33818115234375,-2.7135571289062503,-3.094365234375,-0.6934871478566336,-0.032490565298966705,0.7848335732463514
27.698908,1.64537841796875,1.619033203125,9.48667236328125,0.05885586009075116,0.0066579027251980945,-0.006391586616190171,9.02682861328125,-2.2608984375000003,-4.47150146484375,0.3262372335347066,-0.2623213673728049,0.6298375978037397,9.263935546875,-2.9506640625,-3.5278637695312502,-0.30200246761498556,-0.02476739813773691,0.8130630808011913
27.70472,1.5495776367187502,2.01181640625,9.493857421875001,0.06418218227090963,0.0007989483270237714,0.013049489341388266,9.096284179687501,-1.61184814453125,-4.675078125000001,0.3723099203930775,-0.2556634646476068,0.5952165036327096,8.99808837890625,-2.7638525390625,-3.7242553710937503,0.04820321573043421,-0.024234765919721065,0.8378304789389283
27.710552,1.5160473632812501,1.9782861328125,9.328601074218751,0.03888215191515687,-0.018642127630554665,0.031425300862935004,9.42919189453125,-0.85981201171875,-4.81638427734375,0.39814258296684607,-0.23755396923506802,0.5667206799688618,8.796906738281251,-1.7124389648437501,-3.7985009765625004,0.3358246134589919,-0.021571604829641825,0.8378304789389283
27.71636,1.657353515625,2.0357666015625,10.41593994140625,0.015446334322459579,0.03036003642690331,0.02343581759269729,9.912985839843751,-0.8382568359375,-5.163662109375,0.3829625647533944,-0.15712650431467504,0.5494101328833467,8.93581787109375,-1.0394384765625,-3.6260595703125,0.6886934578944909,0.0002663161090079238,0.8570052387874988
27.722168,1.20948486328125,2.12917236328125,8.96455810546875,-0.00905474770626941,-0.0077231671612297895,0.03968110024218064,9.0388037109375,-0.20836669921875,-4.85949462890625,0.314519324738358,-0.26711505733494756,0.5499427651013626,8.6987109375,0.27063720703125,-3.53744384765625,0.8503473360623006,-0.00905474770626941,0.8652610381667444
27.727984,1.4897021484375002,2.4956103515625,9.695039062500001,-0.05033374460249759,-0.026365294791784455,0.059388492308767006,10.092612304687501,-0.23710693359375,-4.1481738281250005,0.2932140360177241,-0.17550231583622178,0.5219795736555306,8.72505615234375,1.4250366210937502,-3.2524365234375003,0.8727178892189662,-0.0335558297349984,0.8604673482046018
27.733792,1.4465917968750002,2.26329345703125,10.32732421875,-0.057524279545711536,-0.0034621094171030094,0.05645901510967984,9.30944091796875,-0.5891748046875,-4.2583447265625,0.24873924581340082,-0.14514227940931845,0.5054679748970393,9.3166259765625,2.2608984375000003,-2.8596533203125003,0.8181230868723419,-0.03302319751698255,0.8586031354415463
27.739604,1.53520751953125,1.4944921875000001,9.5561279296875,-0.0974716958969001,-0.05006742849348967,0.06524744670694133,9.4794873046875,-0.7328759765625,-4.83554443359375,0.19893813342891906,-0.1589907170777305,0.5041363943519998,9.22801025390625,2.75187744140625,-2.6896069335937502,0.7211840231934576,-0.03648530693408556,0.8508799682803165
27.745412,2.1028271484375,1.3867163085937502,9.4507470703125,-0.12277172625265287,-0.056725331218687766,0.06791060779702056,9.73575439453125,-0.7232958984375001,-4.07392822265625,0.18189390245241194,-0.09587379924285257,0.4916195372286273,9.596843261718751,3.113525390625,-2.5099804687500002,0.5978796647227889,-0.04846953183944213,0.838629427265952
